Date,Hash,Filename,Result
2023-12-05 12:09:30.117096,cb67542ec0ac12901be7b6b664dd62cde77616e9,VirusShare_13e76acbda8dc32d83ca6c299663593e,/home/user/virus_test_eset/flask_server/virus/VirusShare_13e76acbda8dc32d83ca6c299663593e: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:10:09.544653,6bcb7750db87720fa94846459b7e97dd6a8c675c,VirusShare_13f39ddfbf3cb768f3c78ae0dd92cfb6,VBoxManage: error: Waiting for guest process (flags 0x1) failed: Error VERR_NOT_IMPLEMENTED for guest process \"/home/user/virus_test_eset/flask_server/virus/VirusShare_13f39ddfbf3cb768f3c78ae0dd92cfb6\" occurred\
2023-12-05 12:10:46.299576,de9af41ca49bfae57870e770a6db1d43a1dedc47,VirusShare_13f47d732026a49a6d5e856c233c7f48,VBoxManage: error: Waiting for guest process (flags 0x1) failed: No such file or directory \"/home/user/virus_test_eset/flask_server/virus/VirusShare_13f47d732026a49a6d5e856c233c7f48\" on guest\
2023-12-05 12:11:21.446506,6363773a44f61feb3e155af3e9da363bc15992c8,VirusShare_13f9e98921c328722cde17e2fe9114cf,/home/user/virus_test_eset/flask_server/virus/VirusShare_13f9e98921c328722cde17e2fe9114cf: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:11:58.168533,cf352e1c720ff08aae599b5a3b0b41bd0aa15466,VirusShare_13fd74002ba6524963e22e362997a57b,
2023-12-05 12:12:33.105847,12f4fd2682b9290def2b82faff192cd3387e2d17,VirusShare_142cbd80435045fa63c25b4067e94bd3,/home/user/virus_test_eset/flask_server/virus/VirusShare_142cbd80435045fa63c25b4067e94bd3: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:13:07.046330,f5c3729f158a79f7dd51cad7037a073436089c94,VirusShare_15075bddee773685054f45d615d22d9e,unable to open /home/user/virus_test_eset/flask_server/virus/config.json: no such file or directory\
2023-12-05 12:13:38.754795,a22b6a322822fb2d6bc3b924fd25ad08f89fb753,VirusShare_151cdf1212467a87d6af32bed3f4e2c8,/home/user/virus_test_eset/flask_server/virus/VirusShare_151cdf1212467a87d6af32bed3f4e2c8: 1: Syntax error: \"(\" unexpected
2023-12-05 12:14:10.890119,556cd68adf10ff7af263b45c5ebc1eff00c1052b,VirusShare_156e164b27d17efdb5cb35f7ec631d30,/home/user/virus_test_eset/flask_server/virus/VirusShare_156e164b27d17efdb5cb35f7ec631d30: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:14:48.019004,83fff8053599519ebb5a8bd73d4e80a640ba71af,VirusShare_15a06dd80757864b98d119955c102813,/home/user/virus_test_eset/flask_server/virus/VirusShare_15a06dd80757864b98d119955c102813: 1: Syntax error: \"(\" unexpected
2023-12-05 12:15:22.837507,68b36ce381499aee1edc24866ac3b68eb7ca5845,VirusShare_15bed0046bf4c8e941e3f28738681f02,/home/user/virus_test_eset/flask_server/virus/VirusShare_15bed0046bf4c8e941e3f28738681f02: 1: Syntax error: \"(\" unexpected
2023-12-05 12:15:52.175284,b6b61039915097336cbf02775a01b7cb39dd1241,VirusShare_15c15738e1421dcdcb6baca01148e073,
2023-12-05 12:16:27.019378,7c5a95fa720434d939672b5185ce2f5794d916c4,VirusShare_16ca130fd01e09cee29dd7d4fc4a7d77,/home/user/virus_test_eset/flask_server/virus/VirusShare_16ca130fd01e09cee29dd7d4fc4a7d77: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:17:02.184815,4c329580a74dcce732ae1f9dad582d84f718c1d4,VirusShare_1705a8fc8f0123362c1c99852269321c,/home/user/virus_test_eset/flask_server/virus/VirusShare_1705a8fc8f0123362c1c99852269321c: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:17:34.086249,8860a6f05d6a5771c4a06a7515a08031c10d1f25,VirusShare_17589e76dd8611cb6029265c2fc52141,/home/user/virus_test_eset/flask_server/virus/VirusShare_17589e76dd8611cb6029265c2fc52141: 1: Syntax error: Unterminated quoted string
2023-12-05 12:18:10.241182,ddda26d5f7a26692572d877f8f27435123993438,VirusShare_182d9b211a7a299fe50abfcd8a10c103,/home/user/virus_test_eset/flask_server/virus/VirusShare_182d9b211a7a299fe50abfcd8a10c103: 1: 44: not found\
2023-12-05 12:18:44.565901,d7ec7e155a4244e9cb9389223125fee1f3f6b6ad,VirusShare_1a45fb5fbe07c456924d2da467b45a65,/home/user/virus_test_eset/flask_server/virus/VirusShare_1a45fb5fbe07c456924d2da467b45a65: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:19:17.415959,6c0a43996e623440f613d5ec1c35fbbd851e8e17,VirusShare_1a61e8005305de426eddaee4145061e3,/home/user/virus_test_eset/flask_server/virus/VirusShare_1a61e8005305de426eddaee4145061e3: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:19:51.050091,d2e66caf94214cccc1896edbcf7ed19e3e624c9a,VirusShare_1aef4a1a4b42a54171a9f248351c0a12,/home/user/virus_test_eset/flask_server/virus/VirusShare_1aef4a1a4b42a54171a9f248351c0a12: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:20:25.112542,9732cf3ea12a5f9f11f440ed25833c72a2212d44,VirusShare_1b37e247bb3afaef31cf4848e056ba0e,/home/user/virus_test_eset/flask_server/virus/VirusShare_1b37e247bb3afaef31cf4848e056ba0e: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:20:54.890133,339f314e955d75aefc600e3d1ae495933632f02d,VirusShare_1b41b1a979c41165716c0c844a2099ac,/home/user/virus_test_eset/flask_server/virus/VirusShare_1b41b1a979c41165716c0c844a2099ac: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:21:28.421443,a5d04ce8b4da2a2919646907b248f23e5571a53f,VirusShare_1b5cee0e882d6404fb75eb549d04e177,/home/user/virus_test_eset/flask_server/virus/VirusShare_1b5cee0e882d6404fb75eb549d04e177: 14: Syntax error: EOF in backquote substitution
